Id,NewsTitle,MatchedWords,Score,Polarity
1,"ADVANCED MAGNETICS ADMG IN AGREEMENT","agreement, advanced",2,Positive
2,"HEALTH RESEARCH FILES FOR BANKRUPTCY",,0,Neutral
3,"NUMEREX CORP NMRX 2ND QTR JAN 31 LOSS",loss,-1,Negative
4,"US SELLING 128 BILLION DLRS OF 3 AND 6MO BILLS MARCH 30 TO PAY DOWN 12 BILLION DLRS",,0,Neutral
5,"US 2YEAR NOTE AVERAGE YIELD 643 PCT STOP 644 PCT AWARDED AT HIGH YIELD 85 PCT",awarded,1,Positive
6,"COMMODORE CBU ATARI IN SETTLEMENT",,0,Neutral
7,"BALDRIGE SUPPORTS NIC TALKS ON CURRENCIES",supports,1,Positive
8,"TRIANGLE TRI BEGINS EXCHANGE OFFER",,0,Neutral
9,"SOUTHMARK SM UNIT IN PUBLIC OFFERING OF STOCK",,0,Neutral
10,"EASTMAN KODAK CO TO SELL HOLDINGS IN ICN PHARMACEUTICALS AND VIRATEK INC",,0,Neutral
11,"FEUD PERSISTS AT US HOUSE BUDGET COMMITTTEE",,0,Neutral
12,"TREASURY BALANCES AT FED ROSE ON MARCH 23",,0,Neutral
13,"FARM CREDIT SYSTEM SEEN NEEDING 800 MLN DLRS AID",,0,Neutral
14,"USX X USS UNIT RAISES PRICES",,0,Neutral
15,"UNIONIST URGES RETALIATION AGAINST JAPAN",,0,Neutral
16,"EXXON XON GETS 992 MLN DLR CONTRACT",,0,Neutral
17,"EATON ETN GETS 530 MLN DLR CONTRACT",,0,Neutral
18,"ZAIRE AUTHORIZED TO BUY PL 480 RICE  USDA",,0,Neutral
19,"MCDONNELL DOUGLAS GETS 306 MLN DLR CONTRACT",,0,Neutral
20,"MIDIVEST ACQUIRES ASSETS OF BUSINESS AVIATION",,0,Neutral
21,"US WHEAT CREDITS FOR JORDAN SWITCHED",,0,Neutral
22,"DOLLAR EXPECTED TO FALL DESPITE INTERVENTION",fall,-1,Negative
23,"US TO SELL 128 BILLION DLRS IN BILLS",,0,Neutral
24,"INLAND STEEL IAD TO BUILD NEW PLANT IN INDIANA",,0,Neutral
25,"EASTMAN KODAK EK TO SELL HOLDINGS",,0,Neutral
26,"GUINNESS SUES BOESKY IN FEDERAL COURT",sues,-1,Negative
27,"FIRM REDUCES SCEPTRE RESOURCES SRL HOLDINGS",,0,Neutral
28,"GENCORP BOARD WITHDRAWS PROPOSALS TO STAGGER DIRECTORS TERMS",,0,Neutral
29,"ACKLANDS LTD 1ST QTR FEB 28 NET",,0,Neutral
30,"BULL AND BEAR GROUP A BNBGA CUTS FUND PAYOUTS",,0,Neutral
31,"CALTEX TO RAISE BAHRAIN OIL PRODUCT PRICES",,0,Neutral
32,"CHARTER CO QCHR TO COMPLETE REORGANIZATION",,0,Neutral
33,"NASHUA NSH TO PURCHASE PRIVATE DISC MAKER",,0,Neutral
34,"ALTRON INC ALRN 4TH QTR JAN 3",,0,Neutral
35,"COLLINS FOODS CF MOVES UP WARRANT CONVERSION",,0,Neutral
36,"GENCORP GY PROPOSALS WITHDRAWN FROM MEETING",,0,Neutral
37,"WEEKLY ELECTRIC OUTPUT UP 24 PCT FROM 1986",,0,Neutral
38,"MONOLITHIC MMIC TO DROP GATE ARRAY LINE",,0,Neutral
39,"API SAYS DISTILLATE STOCKS OFF 407 MLN BBLS GASOLINE OFF 269 MLN CRUDE UP 853 MLN",crude,-1,Negative
40,"VERMONT FINANCIAL SERVICES VFSC SETS PAYOUT",,0,Neutral
41,"RESORTS INTERNATIONAL GETS BUYOUT PROPOSAL FROM KSZ CO INC",,0,Neutral
42,"VR BUSINESS BROKERS EXPANDS OPERATIONS",,0,Neutral
43,"CORRECTED  ATT T FORMS COMPUTER SALES GROUPS",,0,Neutral
44,"GREAT ATLANTIC AND PACIFIC TEA CO INC GAP DIV",great,1,Positive
45,"GARTNER GROUP GART ACQUIRES COMTEC PROGRAM",,0,Neutral
46,"US CAR SALES DOWN 39 PCT IN MIDMARCH",,0,Neutral
47,"RESORTS INTL RTA RECEIVES TAKEOVER OFFER",,0,Neutral
48,"CITICORP CCI SEES DOUBLING IN RETAIL BANK NET",,0,Neutral
49,"WD40 CO WDFC 2ND QTR FEB 28 NET",,0,Neutral
50,"NASD TO BEGIN SEARCH FOR NEW PRESIDENT",,0,Neutral
51,"BRAZIL COMPUTER MARKET TO REMAIN CLOSEDMINISTER",,0,Neutral
52,"METALBANC IN OFFERING",,0,Neutral
53,"NORTHERN INDIANA PUBLIC SVC NI AGAIN OMITS DIV",,0,Neutral
54,"FEDS JOHNSON SAYS DOLLAR STABILIZED AFTER FED TOOK APPROPRIATE ACTION",appropriate,1,Positive
55,"FED CHAIRMAN VOLCKER SAYS BANK PROPOSALS A WORRY",worry,-1,Negative
56,"BORMANS INC BRF DECLARES QTLY DIVIDEND",,0,Neutral
57,"INTERLEUKIN2 ILTO DETAILS WARRANT CONVERSION",,0,Neutral
58,"US CORN ACREAGE SEEN NEAR RECORD LOW",,0,Neutral
